distance_km,duration_min,time_of_day,traffic_level,weather,demand_level,ride_price
23.48,52,Night,Low,Clear,Low,523.73
28.25,80,Evening,Medium,Clear,High,690.21
26.95,63,Afternoon,High,Clear,High,615.18
18.34,26,Morning,High,Clear,High,415.53
27.73,34,Night,Medium,Clear,Medium,539.58
3.57,42,Night,Medium,Clear,Medium,185.85
6.68,55,Night,High,Clear,High,337.85
2.31,58,Evening,High,Clear,High,248.23
10.43,12,Night,Medium,Clear,High,262.29
12.27,31,Night,High,Rainy,Medium,354.21
8.87,31,Night,,Clear,High,267.52
25.03,25,Afternoon,Low,Rainy,High,518.01
11.35,34,Evening,Medium,,Low,289.12
9.15,32,Night,,Clear,Low,278.72
16.74,68,Morning,Medium,Rainy,Medium,425.4
5.09,73,Morning,Low,Clear,High,279.82
24.26,65,Morning,High,Clear,High,583.45
3.16,52,Evening,Low,Clear,Low,226.12
29.62,23,Evening,High,Clear,Medium,574.99
23.4,8,Morning,Low,Clear,Low,413.64
6.76,39,Night,High,Clear,Low,277.86
1.16,68,Evening,Low,Rainy,Low,249.95
24.65,53,Morning,Medium,Clear,Low,532.47
21.5,21,Morning,Low,Clear,High,433.27
22.14,48,Night,High,Clear,High,533.92
23.37,34,Afternoon,Low,Clear,Low,455.67
3.15,50,Evening,Low,Clear,Medium,213.26
11.4,10,Night,Low,Clear,Medium,239.7
4.36,41,Morning,Medium,Clear,Medium,202.92
26.03,28,Morning,Low,Clear,Medium,516.51
19.08,50,Night,Medium,Clear,Low,458.38
10.6,57,Evening,Medium,Clear,High,358.31
2.84,64,Afternoon,Low,Rainy,Medium,235.87
10.02,67,Afternoon,Low,,Low,350.51
10.43,89,Morning,Low,Clear,Medium,400.15
22.16,36,Evening,High,Rainy,Medium,489.36
19.49,37,Afternoon,Low,Clear,Low,421.45
26.73,71,Evening,,Rainy,High,641.37
14.69,22,Evening,Low,Clear,High,362.42
4.47,29,Morning,High,Rainy,Low,208.89
21.68,58,Afternoon,Low,Clear,High,492.5
23.06,62,Night,High,Rainy,Low,561.42
17.28,71,Morning,High,Clear,Low,473.19
23.36,50,Afternoon,Low,Clear,Low,486.06
15.32,28,Afternoon,Medium,Clear,High,366.61
16.16,36,Afternoon,High,,Low,369.16
13.4,51,Afternoon,Low,Rainy,Medium,355.02
1.74,27,Afternoon,Low,Rainy,High,178.51
4.13,70,Evening,Medium,Clear,High,283.11
1.91,31,Morning,High,Rainy,High,201.39
19.46,6,Evening,High,Clear,High,396.36
10.12,21,Night,Low,Clear,Medium,279.61
15.75,37,Afternoon,Low,Clear,High,382.2
27.32,13,Morning,Medium,Rainy,High,521.75
8.23,47,Afternoon,Medium,Clear,Low,269.24
12.9,52,Morning,High,Clear,High,398.58
22.91,43,Evening,High,Rainy,Medium,509.46
7.64,46,Morning,Low,Clear,Medium,256.55
3.23,30,Night,High,Clear,Medium,186.86
9.4,54,Night,Medium,Clear,Medium,297.1
5.68,29,Morning,Medium,Clear,High,228.07
27.96,28,Morning,Low,Clear,High,546.88
24.44,17,Morning,Medium,,Medium,453.03
19.37,64,Morning,Medium,Clear,Medium,470.35
26.27,11,Night,Medium,Clear,High,502.7
24.31,61,Afternoon,Medium,Clear,Medium,556.4
6.41,40,Morning,Low,Rainy,Low,235.68
26.88,49,Morning,Low,Clear,Medium,535.62
16.64,24,Night,High,Clear,Medium,378.6
24.42,69,Night,Medium,Clear,Low,574.3
26.99,12,Evening,High,Clear,Low,519.18
10.22,20,Morning,Low,Clear,High,257.42
4.19,18,Evening,Low,Rainy,High,208.14
7.61,80,Night,Low,Clear,Low,321.52
13.39,19,Night,Low,Clear,Low,315.29
24.72,70,Afternoon,Low,Clear,High,572.61
25.96,36,Morning,Low,Clear,Medium,509.14
1.2,67,Evening,Low,Rainy,Low,237.65
15.81,55,Night,Medium,Clear,High,438.35
13.1,29,Night,High,Clear,Medium,347.67
7.44,62,Evening,Low,Clear,Low,306.79
4.48,67,Afternoon,Medium,Clear,Medium,264.06
10.79,66,Night,Medium,Rainy,High,404.47
28.34,26,Morning,High,Clear,Low,542.56
10.37,62,Night,Low,Rainy,Medium,360.88
16.04,62,Morning,High,Clear,Low,419.33
21.39,53,Evening,Low,Rainy,Medium,501.27
11.55,56,Morning,Medium,Clear,High,368.43
29.18,46,Evening,Medium,,High,621.04
28.91,74,Morning,Medium,Clear,Low,636.12
8.3,19,Evening,,Rainy,Medium,235.37
15.42,58,Morning,,Rainy,Low,438.59
9.73,64,Afternoon,Low,,Low,323.15
9.26,12,Morning,Low,Rainy,Medium,218.25
2.07,57,Morning,High,Clear,Medium,223.92
18.68,64,Afternoon,,Rainy,Medium,454.15
15.58,9,Night,Medium,Clear,High,346.71
2.49,72,Night,Low,Rainy,Low,245.93
9.08,10,Morning,Medium,Rainy,Low,228.98
27.34,51,Afternoon,High,Rainy,High,614.49
7.95,59,Morning,Low,Clear,Medium,288.6
5.2,44,Evening,High,Clear,High,280.13
15.19,56,Evening,Low,Rainy,High,420.55
29.58,20,Morning,Medium,Clear,High,552.19
8.02,17,Night,High,Rainy,Low,259.74
20.49,34,Night,Low,Rainy,High,484.03
23.09,23,Morning,Medium,Clear,Low,445.18
7.89,21,Morning,High,Rainy,Low,226.86
22.12,67,Evening,High,Clear,Low,556.66
11.67,23,Night,Low,Rainy,Medium,303.18
19.34,62,Morning,Low,Rainy,Low,474.57
19.37,59,Evening,Low,Clear,Low,485.78
16.54,66,Night,Medium,Clear,Medium,438.27
3.62,27,Afternoon,Low,Rainy,Low,163.2
25.22,13,Evening,High,Clear,High,489.45
10.3,16,Night,High,Clear,High,305.7
6.41,5,Night,Low,Clear,Low,174.29
2.18,62,Evening,Low,Clear,Medium,204.88
18.14,5,Afternoon,High,Clear,High,359.51
20.65,38,Evening,Medium,Clear,Medium,442.02
1.48,52,Night,Low,Clear,Medium,199.14
15.85,5,Morning,Low,Clear,High,319.75
7.57,20,Morning,High,Clear,Medium,215.5
19.71,65,Evening,Low,Clear,High,505.59
6.06,68,Night,Medium,Clear,Medium,281.39
21.04,67,Morning,High,Clear,High,525.26
12.22,73,Night,Low,Clear,Low,382.23
28.17,26,Evening,High,Clear,High,573.84
4.99,71,Morning,Low,Rainy,High,308.68
